Altium Designer Pick and Place Locations
D:\Desk\01_Ô­ÀíÍ¼\Project Outputs for Ä©¶Ë¿ØÖÆ°å\Pick Place for MS-002.22T003(Fitted).csv

========================================================================================================================
File Design Information:

Date:       30-06-23
Time:       11:24
Revision:   Not in VersionControl
Variant:    Fitted
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"D2","B5819W","TopLayer","SOD-123","1891.245","953.777","270","Diode"
"D1","B5819W","TopLayer","SOD-123","1806.245","953.777","270","Diode"
"R17","2k","TopLayer","0603_R","1840.500","1460.000","180",""
"R16","2k","TopLayer","0603_R","1840.500","1395.000","180",""
"R15","2k","TopLayer","0603_R","1840.500","1330.000","180",""
"R14","2k","TopLayer","0603_R","1840.500","1265.000","180",""
"R13","1k","TopLayer","0603_R","2130.000","950.000","360",""
"R12","1.5k","TopLayer","0603_R","2435.000","985.000","90",""
"R11","510R","TopLayer","0603_R","2370.000","985.500","270",""
"R10","330R","TopLayer","0603_R","2305.000","985.000","90",""
"R9","200R","TopLayer","0603_R","2240.000","985.000","270",""
"R7","100k","TopLayer","0603_R","1704.000","1978.000","180","ÌùÆ¬µç×è"
"R6","100k","TopLayer","0603_R","1161.000","1980.000","360","ÌùÆ¬µç×è"
"R5","100k","TopLayer","0603_R","1010.500","1835.000","180","ÌùÆ¬µç×è"
"Q4","S8050","TopLayer","SOT-23_3","2015.000","1525.000","270",""
"Q3","S8050","TopLayer","SOT-23_3","2015.000","1375.000","270",""
"Q2","S8050","TopLayer","SOT-23_3","2015.000","1225.000","270",""
"Q1","S8050","TopLayer","SOT-23_3","2015.000","1075.000","270",""
"C3","10uF/1206/50V","TopLayer","1206_C","1625.000","812.087","270","Capacitor"
"R27","200R/1206","TopLayer","1206_R","980.000","937.913","90",""
"R26","0R/1206","TopLayer","1206_R","760.000","937.913","90",""
"R25","200R/1206","TopLayer","1206_R","870.000","937.913","90",""
"C2","2.2uF/0805","TopLayer","0805_C","1165.000","795.000","90","Capacitor"
"C1","1uF/0805","TopLayer","0805_C","1475.000","810.000","270","Capacitor"
"J2","5PIN","TopLayer","1.25T-5P-WT","2116.695","652.734","40",""
"C6","0.1uF","TopLayer","0603_C","1060.000","739.500","90","Capacitor"
"SW4","TC-1102N-C-EL-B","TopLayer","TC-1102N-C-EL-B","1939.601","2091.240","146",""
"SW3","TC-1102N-C-EL-B","TopLayer","TC-1102N-C-EL-B","1615.189","2240.094","168.5",""
"SW2","TC-1102N-C-EL-B","TopLayer","TC-1102N-C-EL-B","1259.811","2240.094","191.5",""
"SW1","TC-1102N-C-EL-B","TopLayer","TC-1102N-C-EL-B","930.399","2091.240","214",""
"R23","2k","TopLayer","0603_R","1112.000","1590.000","360",""
"R22","2k","TopLayer","0603_R","1101.000","1664.000","360",""
"U2","TPS70933DBVR","TopLayer","SOT-23_5","1315.000","830.000","180",""
"U1","STM8L101F3P6","TopLayer","TSSOP-20","1510.433","1375.984","90",""
"R24","2k","TopLayer","0603_R","1300.500","1040.000","360",""
"R21","10k","TopLayer","0603_R","2005.000","950.000","180",""
"R20","10k","TopLayer","0603_R","1680.000","975.000","360",""
"R8","100k","TopLayer","0603_R","1795.500","1720.000","360","ÌùÆ¬µç×è"
"R19","10k","TopLayer","0603_R","1875.000","1120.000","90",""
"R18","10k","TopLayer","0603_R","1810.000","1120.000","90",""
"R4","10k","TopLayer","0603_R","1794.500","1790.000","360",""
"R3","10k","TopLayer","0603_R","1595.000","2045.000","360",""
"R2","10k","TopLayer","0603_R","1249.500","2045.000","180",""
"R1","10k","TopLayer","0603_R","1010.500","1900.000","180",""
"Q7","S8050","TopLayer","SOT-23_3","1130.000","1075.000","90",""
"Q6","S8050","TopLayer","SOT-23_3","953.000","1624.000","90",""
"Q5","S8050","TopLayer","SOT-23_3","740.000","1710.000","90",""
"J3","4PIN","BottomLayer","CONN-SMD_2243-104","1011.890","1325.866","360",""
"C5","0.1uF","TopLayer","0603_C","1455.000","1040.000","90","Capacitor"
"C4","0.1uF","TopLayer","0603_C","1555.000","1075.000","180","Capacitor"
