Altium Designer Pick and Place Locations
D:\Desk\灯板修改\MS-002.24T001-末端灯板\Project Outputs for MS-002.24.1.0\Pick Place for MS-002.24T003(Variant of MS-002.24.1.0).csv

========================================================================================================================
File Design Information:

Date:       21-03-23
Time:       10:17
Revision:   Not in VersionControl
Variant:    Variant of MS-002.24.1.0
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R45","1k","TopLayer","0603_R","25.7606","-18.1918","50",""
"R44","1k","TopLayer","0603_R","15.7137","-27.2024","30",""
"R43","1k","TopLayer","0603_R","1.8973","-31.2220","360",""
"R42","1k","TopLayer","0603_R","-10.2691","-29.4278","345",""
"R41","1k","TopLayer","0603_R","-19.9594","-24.0338","320",""
"R40","1k","TopLayer","0603_R","23.7286","-15.9058","50",""
"R39","1k","TopLayer","0603_R","14.6977","-24.1544","30",""
"R38","1k","TopLayer","0603_R","1.8973","-28.1740","360",""
"R37","1k","TopLayer","0603_R","-9.0374","-26.8278","345",""
"R36","1k","TopLayer","0603_R","-17.9274","-22.0018","320",""
"R35","1k","TopLayer","0603_R","24.7710","-16.9877","50",""
"R34","1k","TopLayer","0603_R","15.2057","-25.6784","30",""
"R33","1k","TopLayer","0603_R","1.8973","-29.6980","360",""
"R32","1k","TopLayer","0603_R","-9.5454","-28.0978","345",""
"R31","1k","TopLayer","0603_R","-18.9434","-23.0178","320",""
"D15","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","26.2964","-11.6908","330","RGB三色灯/共阳极"
"D14","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","19.5852","-21.6741","312","RGB三色灯/共阳极"
"D13","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","9.0739","-27.8417","288","RGB三色灯/共阳极"
"D12","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","-2.9972","-29.3370","264","RGB三色灯/共阳极"
"D11","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","-14.5864","-25.3312","240","RGB三色灯/共阳极"
"R30","1k","TopLayer","0603_R","-28.0874","-13.6198","295",""
"R29","1k","TopLayer","0603_R","-31.2928","-1.1811","270",""
"R28","1k","TopLayer","0603_R","-29.1034","11.7803","250",""
"R27","1k","TopLayer","0603_R","-20.7214","23.7183","225",""
"R26","1k","TopLayer","0603_R","-10.8154","29.5603","205",""
"R25","1k","TopLayer","0603_R","-25.0394","-13.1118","295",""
"R24","1k","TopLayer","0603_R","-28.1940","-1.8669","270",""
"R23","1k","TopLayer","0603_R","-26.5634","10.2563","250",""
"R22","1k","TopLayer","0603_R","-19.1974","21.1783","225",""
"R21","1k","TopLayer","0603_R","-10.3074","26.5123","205",""
"R20","1k","TopLayer","0603_R","-26.5634","-13.3658","295",""
"R19","1k","TopLayer","0603_R","-29.7434","-1.4351","270",""
"R18","1k","TopLayer","0603_R","-27.8334","11.0183","250",""
"R17","1k","TopLayer","0603_R","-19.9594","22.4483","225",""
"R16","1k","TopLayer","0603_R","-10.5614","28.0363","205",""
"R15","1k","TopLayer","0603_R","1.3970","31.2928","180",""
"R14","1k","TopLayer","0603_R","15.0926","27.5283","155",""
"R13","1k","TopLayer","0603_R","24.9986","19.4003","130",""
"R12","1k","TopLayer","0603_R","30.5866","8.2243","105",""
"R11","1k","TopLayer","0603_R","31.3486","-4.2218","85",""
"R10","1k","TopLayer","0603_R","1.5875","28.1432","180",""
"R9","1k","TopLayer","0603_R","13.3976","25.0509","155",""
"R8","1k","TopLayer","0603_R","22.4586","17.8763","130",""
"R7","1k","TopLayer","0603_R","27.5386","7.7163","105",""
"R6","1k","TopLayer","0603_R","28.3006","-3.7138","85",""
"R5","1k","TopLayer","0603_R","1.4859","29.6418","180",""
"R4","1k","TopLayer","0603_R","14.3306","26.2583","155",""
"R3","1k","TopLayer","0603_R","23.7286","18.6383","130",""
"R2","1k","TopLayer","0603_R","29.0626","7.9703","105",""
"J1","4PIN","BottomLayer","SIP4_2.0","0.0000","-10.7160","270",""
"D10","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","-23.6440","-17.1774","216","RGB三色灯/共阳极"
"D9","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","-28.6525","-6.1081","192","RGB三色灯/共阳极"
"D8","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","-28.6499","6.0331","168","RGB三色灯/共阳极"
"D7","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","-23.6186","17.1266","144","RGB三色灯/共阳极"
"D6","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","-14.5752","25.2228","120","RGB三色灯/共阳极"
"D5","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","-3.0557","28.8409","96","RGB三色灯/共阳极"
"D4","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","8.9102","27.5919","72","RGB三色灯/共阳极"
"D3","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","19.3022","21.5060","48","RGB三色灯/共阳极"
"D2","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","26.5383","11.8815","24","RGB三色灯/共阳极"
"R1","1k","TopLayer","0603_R","29.8246","-3.9678","85",""
"D1","19-237A/BHR6GHC-A01/2T","TopLayer","19-237A/BHR6GHC-A01/2T","28.6400","0.0334","360","RGB三色灯/共阳极"
