Altium Designer Pick and Place Locations
E:\svn\MS-002\01工程类\04编码实现\电子\MS-002.28T001-条形灯板\01_原理图\原理图&PCB\Project Outputs for MS-002.28.1.0\Pick Place for MS-002.28T003.csv

========================================================================================================================
File Design Information:

Date:       24-04-23
Time:       13:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P2","PHB-4","BottomLayer","PHB-4","6.0960","210.8200","270",""
"R30","470Ω/0805","TopLayer","0805_R","7.2855","32.0040","180","贴片电阻"
"R29","470Ω/0805","TopLayer","0805_R","7.0315","63.7540","180","贴片电阻"
"R28","470Ω/0805","TopLayer","0805_R","7.2855","99.8220","180","贴片电阻"
"R27","470Ω/0805","TopLayer","0805_R","7.2855","135.8900","180","贴片电阻"
"R26","470Ω/0805","TopLayer","0805_R","7.1925","171.7040","180","贴片电阻"
"R25","470Ω/0805","TopLayer","0805_R","6.9385","207.7720","180","贴片电阻"
"R24","470Ω/0805","TopLayer","0805_R","7.2855","242.8240","180","贴片电阻"
"R15","470Ω/0805","TopLayer","0805_R","7.2855","35.0520","180","贴片电阻"
"R14","470Ω/0805","TopLayer","0805_R","7.0315","66.8020","180","贴片电阻"
"R13","470Ω/0805","TopLayer","0805_R","7.1925","102.8700","180","贴片电阻"
"R12","470Ω/0805","TopLayer","0805_R","7.2855","138.6840","180","贴片电阻"
"R11","470Ω/0805","TopLayer","0805_R","7.0315","174.7520","180","贴片电阻"
"R10","470Ω/0805","TopLayer","0805_R","7.0315","210.8200","180","贴片电阻"
"R9","470Ω/0805","TopLayer","0805_R","7.1925","245.8720","180","贴片电阻"
"D30","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.7350","31.7500","0","Typical BLUE SiC LED"
"D29","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.6650","63.5000","0","Typical BLUE SiC LED"
"D28","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.4810","99.5680","0","Typical BLUE SiC LED"
"D27","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.7350","135.3820","0","Typical BLUE SiC LED"
"D26","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.4810","171.4500","0","Typical BLUE SiC LED"
"D25","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.4810","207.5180","0","Typical BLUE SiC LED"
"D24","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.7350","242.5700","0","Typical BLUE SiC LED"
"D15","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.6650","35.3060","0","Typical BLUE SiC LED"
"D14","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.7350","67.0560","0","Typical BLUE SiC LED"
"D13","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.4810","103.1240","360","Typical BLUE SiC LED"
"D12","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.7350","138.9380","0","Typical BLUE SiC LED"
"D11","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.6650","175.0060","0","Typical BLUE SiC LED"
"D10","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.6650","211.0740","0","Typical BLUE SiC LED"
"D9","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.6650","246.1260","0","Typical BLUE SiC LED"
"D21","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.5712","81.6000","0","Typical BLUE SiC LED"
"R23","470Ω/0805","TopLayer","0805_R","7.1925","18.0340","180","贴片电阻"
"R22","470Ω/0805","TopLayer","0805_R","7.1925","45.4660","180","贴片电阻"
"R21","470Ω/0805","TopLayer","0805_R","7.1925","81.6000","180","贴片电阻"
"R20","470Ω/0805","TopLayer","0805_R","7.2032","117.6040","180","贴片电阻"
"R19","470Ω/0805","TopLayer","0805_R","7.2032","153.6080","180","贴片电阻"
"R18","470Ω/0805","TopLayer","0805_R","7.2032","189.6120","180","贴片电阻"
"D23","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.5712","18.0340","0","Typical BLUE SiC LED"
"D22","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.5712","45.4660","0","Typical BLUE SiC LED"
"D20","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.5712","117.6040","0","Typical BLUE SiC LED"
"D19","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.5712","153.6080","0","Typical BLUE SiC LED"
"D18","HL-A-3528H203BC-S1-13HL","TopLayer","LED_2835","12.5712","189.6120","0","Typical BLUE SiC LED"
"P1","PHB-4","BottomLayer","PHB-4Y_-_duplicate","6.0960","194.8180","270",""
"D1","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.5712","263.0100","0","Typical BLUE SiC LED"
"D2","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.5712","229.0100","0","Typical BLUE SiC LED"
"D3","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.5712","193.0100","0","Typical BLUE SiC LED"
"D4","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.5712","157.0100","0","Typical BLUE SiC LED"
"D5","HL-A-3528S31YC-S1-13HL","TopLayer","LED_2835","12.5712","121.0100","0","Typical BLUE SiC LED"
"R1","470Ω/0805","TopLayer","0805_R","7.1925","262.8900","180","贴片电阻"
